"SOURCE_TABLE","SOURCE_COLUMN","SOURCE_VALUE","SOURCE_DESCRIPTION","TARGET_TABLE","TARGET_COLUMN","TARGET_CONCEPT_ID_CHAR","COMMENTS","TARGET_CONCEPT_ID"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/m3","milligram per cubic meter","","","9564","From N3C","9564"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","milligram per liter","milligram per liter","","","8751","From N3C","8751"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol","millimole","","","9573","From N3C","9573"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/(5.h)","millimole per 5 hour","","","8910","From N3C","8910"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/dL","millimole per deciliter","","","9575","From N3C","9575"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/s/L","millimole per second per liter","","","8753","From N3C","8753"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mol","mole","","","9584","From N3C","9584"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mol/kg/s","mole per kilogram per second","","","9585","From N3C","9585"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mol/mol","mole per mole","","","9674","From N3C","9674"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/L","milliequivalent per liter","","","9557","From N3C","9557"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/g","milliequivalent per gram","","","9554","From N3C","9554"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/g{creat}","milliequivalent per gram of creatinine","","","9555","From N3C","9555"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg","milligram","","","8576","From N3C","8576"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/(10.h)","milligram per 10 hour","","","44777610","From N3C","44777610"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/(6.h)","milligram per 6 hour","","","44777610","From N3C","44777610"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/L","milligram per liter","","","8751","From N3C","8751"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/L{RBCs}","milligram per liter of red blood cells","","","9113","From N3C","9113"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/g{tissue}","milligram per gram of tissue","","","8723","From N3C","8723"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/kg/h","milligram per kilogram per hour","","","9691","From N3C","9691"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/mg","milligram per milligram","","","9565","From N3C","9565"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/{total_output}","milligram per total output","","","9560","From N3C","9560"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","milligram per deciliter","milligram per deciliter","","","8840","From N3C","8840"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","min","minute","","","8550","From N3C","8550"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/(12.h)","millimole per 12 hour","","","44777664","From N3C","44777664"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/(2.h)","millimole per 2 hour","","","8910","From N3C","8910"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/h/mg{Hb}","millimole per hour per milligram of hemoglobin","","","44777642","From N3C","44777642"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/{ejaculate}","millimole per ejaculate","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mol/m3","mole per cubic meter","","","9587","From N3C","9587"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/(8.h)","nanogram per 8 hour","","","44777624","From N3C","44777624"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/kg/(8.h)","nanogram per kilogram per 8 hour","","","9602","From N3C","9602"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/m2","nanogram per square meter","","","9603","From N3C","9603"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/mg/h","nanogram per milligram per hour","","","8818","From N3C","8818"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol","nanomole","","","9607","From N3C","9607"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/dL{GF}","nanomole per deciliter of glomerular filtrate","","","9608","From N3C","9608"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/h/L","nanomole per hour per liter","","","44777630","From N3C","44777630"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/nmol","nanomole per nanomole","","","9614","From N3C","9614"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","osm","osmole","","","9619","From N3C","9619"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pg/dL","picogram per deciliter","","","8820","From N3C","8820"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/umol","picomole per micromole","","","9633","From N3C","9633"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","uL/(2.h)","microliter per 2 hour","","","44777603","From N3C","44777603"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","uL/h","microliter per hour","","","44777603","From N3C","44777603"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","uU/mL","micro enzyme unit per milliliter","","","8860","From N3C","8860"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/m3","microgram per cubic meter","","","9532","From N3C","9532"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/mL{eqv}","microgram per milliliter equivalent","","","9046","From N3C","9046"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/min","microgram per minute","","","8774","From N3C","8774"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ukat","microkatal","","","44777647","From N3C","44777647"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/L","micromole per liter","","","8749","From N3C","8749"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/dL","micromole per deciliter","","","8839","From N3C","8839"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/min","micromole per minute","","","44777655","From N3C","44777655"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{#}/mL","number per milliliter","","","45891033","From N3C","45891033"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{EIA'U}","EIA unit","","","8556","From N3C","8556"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{EV}","EIA value","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{ImmuneComplex'U}","immune complex unit","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{Log_IU}","log (base 10) international unit","","","8718","From N3C","8718"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{Lyme_index_value}","Lyme index value","","","44777565","From N3C","44777565"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{MPS'U}","IgM antiphosphatidylserine unit","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{OD_unit}","optical density unit","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{Rubella_virus}","rubella virus","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{STDV}","standard deviation","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{TSI_index}","thyroid-stimulating immunoglobulin index","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{activity}","activity","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{cells}/uL","cells per microliter","","","8784","From N3C","8784"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{count}","count","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{titer}","titer","","","8525","From N3C","8525"
"PRESCRIBING","RX_FREQUENCY","3","03=Three  times  a  day  (TID)","","","0","From N3C","0"
"PRESCRIBING","RX_FREQUENCY","4","04=Four  times  a  day  (QID)","","","0","From N3C","0"
"PRESCRIBING","RX_SOURCE","NI","NI=No  information","","","0","From N3C","0"
"PRESCRIBING","RX_SOURCE","OT","OT=Other","","","0","From N3C","0"
"PROCEDURES","PPX","OT","OT=Other","","","0","From N3C","0"
"PROCEDURES","PPX","UN","UN=Unknown","","","0","From N3C","0"
"PROCEDURES","PX_SOURCE","UN","UN=Unknown","","","0","From N3C","0"
"VITAL","DIASTOLIC_BP_POSITION","01","01=Sitting","","","3034703","From N3C","3034703"
"VITAL","SYSTOLIC_BP_POSITION","UN","UN=Unknown","","","3004249","UNC","3004249"
"VITAL","TOBACCO_TYPE","03","03=Use  of  both  smoked  and  non-smoked  tobacco  products","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/h","gram per hour","","","44777594","From N3C","44777594"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/mL","gram per milliliter","","","9514","From N3C","9514"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/min","gram per minute","","","8774","From N3C","8774"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/{specimen}","gram per specimen","","","9657","From N3C","9657"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g{Hb}","gram of hemoglobin","","","44777597","From N3C","44777597"
"PRESCRIBING","RX_SOURCE","DR","DR=Derived","","","0","From N3C","0"
"PROCEDURES","PX_SOURCE","BI","BI=Billing","","","32821","From N3C","32821"
"VITAL","SYSTOLIC_BP_POSITION","03","03=Supine","","","36303812","From N3C","36303812"
"VITAL","SYSTOLIC_BP_POSITION","OT","OT=Other","","","3004249","UNC","3004249"
"VITAL","TOBACCO_TYPE","NI","NI=No  information","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/g{creat}","gram per gram of creatinine","","","9511","From N3C","9511"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/mg","gram per milligram","","","9565","From N3C","9565"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/{total_weight}","gram per total weight","","","9509","From N3C","9509"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g{creat}","gram of creatinine","","","44777596","From N3C","44777596"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kPa","kilopascal","","","44777602","From N3C","44777602"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kU/g","kilo enzyme unit per gram","","","9538","From N3C","9538"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","k[IU]/L","kilo international unit per liter","","","8923","From N3C","8923"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kat/kg","katal per kilogram","","","9527","From N3C","9527"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kg","kilogram","","","9529","From N3C","9529"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kg.m/s","kilogram meter per second","","","44777606","From N3C","44777606"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kg/(s.m2)","kilogram per second per square meter","","","9531","From N3C","9531"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kg/s","kilogram per second","","","9533","From N3C","9533"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","lm","lumen","","","9543","From N3C","9543"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","m/s2","meter per square second","","","44777607","From N3C","44777607"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/(72.h)","milliliter per 72 hour","","","45891022","From N3C","45891022"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/(8.h)","milliliter per 8 hour","","","44777613","From N3C","44777613"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/dL","milliliter per deciliter","","","9570","From N3C","9570"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/mbar","milliliter per millibar","","","45891033","From N3C","45891033"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL{fetal_RBCs}","milliliter of fetal red blood cells","","","9083","From N3C","9083"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mU/mmol{creat}","milli  enzyme unit per millimole of creatinine","","","44777619","From N3C","44777619"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/(2.h)","milliequivalent per 2 hour","","","44777582","From N3C","44777582"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/(24.h)","milliequivalent per 24 hour","","","44777582","From N3C","44777582"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/h","milliequivalent per hour","","","44777582","From N3C","44777582"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/kg/h","milliequivalent per kilogram per hour","","","9556","From N3C","9556"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/m2","milliequivalent per square meter","","","9558","From N3C","9558"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/mL","milliequivalent per milliliter","","","9559","From N3C","9559"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/(72.h)","milligram per 72 hour","","","45891022","From N3C","45891022"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/(8.h)","milligram per 8 hour","","","44777610","From N3C","44777610"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/g","milligram per gram","","","8723","From N3C","8723"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/g{dry_tissue}","milligram per gram of dry tissue","","","8723","From N3C","8723"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/kg/min","milligram per kilogram per minute","","","9692","From N3C","9692"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/l","milligram per liter","","","8751","From N3C","8751"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/mmol{creat}","milligram per millimole of creatinine","","","9075","From N3C","9075"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/wk","milligram per week","","","44777559","From N3C","44777559"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mm/min","millimeter per minute","","","8795","From N3C","8795"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mm[Hg]","millimeter of mercury","","","8876","From N3C","8876"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/L","millimole per liter","","","8753","From N3C","8753"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/m2","millimole per square meter","","","9578","From N3C","9578"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/min","millimole per minute","","","44777618","From N3C","44777618"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/mmol","millimole per millimole","","","44777618","From N3C","44777618"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nL","nanoliter","","","9606","From N3C","9606"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nU/mL","nanoenzyme unit per milliliter","","","8763","From N3C","8763"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/(24.h)","nanogram per 24 hour","","","44777624","From N3C","44777624"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nm/s/L","nanometer per second per liter","","","8955","From N3C","8955"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/L/mmol{creat}","nanomole per liter per millimole of creatinine","","","9063","From N3C","9063"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/L{RBCs}","nanomole per liter of red blood cells","","","44777632","From N3C","44777632"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/min/mg{Hb}","nanomole per minute per milligram of hemoglobin","","","44777642","From N3C","44777642"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol{1/2cys}/mg{prot}","nanomole of 1/2 cystine per milligram of protein","","","9611","From N3C","9611"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol{ATP}","nanomole of ATP","","","9607","From N3C","9607"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","osm/L","osmole per liter","","","9621","From N3C","9621"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pg/l","picogram per liter","","","9625","From N3C","9625"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pg/mg","picogram per milligram","","","9565","From N3C","9565"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pg/mm","picogram per millimeter","","","9626","From N3C","9626"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","picogram per liter","picogram per liter","","","9625","From N3C","9625"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/L","picomole per liter","","","8729","From N3C","8729"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/h/mL","picomole per hour per milliliter","","","9632","From N3C","9632"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/mmol{creat}","picomole per millimole of creatinine","","","44777619","From N3C","44777619"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","s","second","","","8555","From N3C","8555"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","t","metric ton","","","9647","From N3C","9647"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ueq/L","microequivalent per liter","","","8875","From N3C","8875"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/L{RBCs}","microgram per liter of red blood cells","","","9659","From N3C","9659"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/g{Hb}","microgram per gram of hemoglobin","","","9661","From N3C","9661"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/kg","microgram per kilogram","","","9662","From N3C","9662"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/kg/d","microgram per kilogram per day","","","9662","From N3C","9662"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/mg{creat}","microgram per milligram of creatinine","","","9072","From N3C","9072"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/L/h","micromole per liter per hour","","","44777652","From N3C","44777652"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/L{RBCs}","micromole per liter of red blood cells","","","9428","From N3C","9428"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/mg","micromole per milligram","","","9670","From N3C","9670"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/mg{creat}","micromole per milligram of creatinine","","","9671","From N3C","9671"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/mol{Hb}","micromole per mole of hemoglobin","","","44777657","From N3C","44777657"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/umol","micromole per micromole","","","9674","From N3C","9674"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/umol{creat}","micromole per micromole of creatinine","","","9675","From N3C","9675"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol{BCE}/mol","micromole bone collagen equivalent per mole","","","9683","From N3C","9683"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","wk","week","","","8511","From N3C","8511"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{#}/[LPF]","number per low power field","","","8765","From N3C","8765"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{CPM}/10*3{cell}","counts per minute per thousand cells","","","8483","From N3C","8483"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{EIA_index}","EIA index","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{Globules}/[HPF]","globules (drops)  per high power field","","","8786","From N3C","8786"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{INR}","international normalized ratio","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{fraction}","fraction","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{mutation}","mutation","","","0","From N3C","0"
"PRESCRIBING","RX_FREQUENCY","NI","NI=No  information","","","0","From N3C","0"
"PRESCRIBING","RX_FREQUENCY","UN","UN=Unknown","","","0","From N3C","0"
"PRESCRIBING","RX_PRN_FLAG","Y","Y=Yes","","","0","From N3C","0"
"PRESCRIBING","RX_SOURCE","UN","UN=Unknown","","","0","From N3C","0"
"PROCEDURES","PPX","S","S=Secondary","","","0","From N3C","0"
"PROCEDURES","PX_SOURCE","CL","CL=Claim","","","32810","From N3C","32810"
"PROCEDURES","PX_SOURCE","NI","NI=No  information","","","0","From N3C","0"
"VITAL","DIASTOLIC_BP_POSITION","02","02=Standing","","","3019962","From N3C","3019962"
"VITAL","TOBACCO_TYPE","01","01=Smoked  tobacco  only","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/g{globulin}","gram per gram of globulin","","","9510","From N3C","9510"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/h/m2","gram per hour per square meter","","","9513","From N3C","9513"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/mol{creat}","gram per mole of creatinine","","","9511","From N3C","9511"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/{total_output}","gram per total output","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","h","hour","","","8505","From N3C","8505"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kU/mL","kilo enzyme unit per milliliter","","","8763","From N3C","8763"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kg/h","kilogram per hour","","","9690","From N3C","9690"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ks","kilosecond","","","9537","From N3C","9537"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/(5.h)","milliliter per 5 hour","","","44777613","From N3C","44777613"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/cm[H2O]","milliliter per centimeter of water","","","45891033","From N3C","45891033"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/min","milliliter per minute","","","8795","From N3C","8795"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mPa.s","millipascal second","","","44777622","From N3C","44777622"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mbar","millibar","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","meq/{total_volume}","milliequivalent per total volume","","","9551","From N3C","9551"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/dL","milligram per deciliter","","","8840","From N3C","8840"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/kg","milligram per kilogram","","","9562","From N3C","9562"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/kg/d","milligram per kilogram per day","","","9562","From N3C","9562"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/m2","milligram per square meter","","","9563","From N3C","9563"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/mL","milligram per milliliter","","","8861","From N3C","8861"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/mmol","milligram per millimole","","","44777612","From N3C","44777612"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mg/{specimen}","milligram per specimen","","","8724","From N3C","8724"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mm","millimeter","","","8588","From N3C","8588"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/(24.h)","millimole per 24 hour","","","8910","From N3C","8910"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/g","millimole per gram","","","9576","From N3C","9576"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/mmol{creat}","millimole per millmole of creatinine","","","44777619","From N3C","44777619"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mmol/mol","millimole per mole","","","9579","From N3C","9579"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/10*6{RBCs}","nanogram per million red blood cells","","","9113","From N3C","9113"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/mL/h","nanogram per milliliter per hour","","","9020","From N3C","9020"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng/mg{prot}","nanogram per milligram of protein","","","9604","From N3C","9604"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ng{FEU}/mL","nanogram fibrinogen equivalent unit per milliliter","","","32707","From N3C","32707"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nkat","nanokatal","","","44777626","From N3C","44777626"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/dL","nanomole per deciliter","","","9608","From N3C","9608"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/mL/h","nanomole per milliliter per hour","","","44777631","From N3C","44777631"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/mg{creat}","nanomole per milligram of creatinine","","","44777634","From N3C","44777634"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/mg{prot}/h","nanomole per milligram of protein per hour","","","8993","From N3C","8993"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","nmol/min/mL","nanomole per minute per milliliter","","","44777635","From N3C","44777635"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pA","picoampere","","","9623","From N3C","9623"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pT","picotesla","","","9646","From N3C","9646"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol","picomole","","","9630","From N3C","9630"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/(24.h)","picomole per 24 hour","","","44777640","From N3C","44777640"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/g","picomole per gram","","","9668","From N3C","9668"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/umol{creat}","picomole per micromole of creatinine","","","9675","From N3C","9675"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","pmol/{RBC}","picomole per red blood cell","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","uL","microliter","","","9665","From N3C","9665"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","u[IU]/L","microinternational unit per liter","","","8923","From N3C","8923"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/[sft_i]","microgram per square foot (international)","","","9306","From N3C","9306"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/g{tissue}","microgram per gram of tissue","","","8720","From N3C","8720"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","ug/kg/min","microgram per kilogram per minute","","","9688","From N3C","9688"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/kg","micromole per kilogram","","","44777654","From N3C","44777654"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/mL","micromole per milliliter","","","9673","From N3C","9673"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","umol/mol{creat}","micromole per mole of creatinine","","","9675","From N3C","9675"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{CAE'U}","complement activity enzyme unit","","","8998","From N3C","8998"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{CPM}","counts per minute","","","8483","From N3C","8483"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{GPS'U}","IgG antiphosphatidylserine unit","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{JDF'U}/L","Juvenile Diabetes Foundation unit per liter","","","8560","From N3C","8560"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{MPS'U}/mL","IgM antiphosphatidylserine unit per milliliter","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{binding_index}","binding index","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{cells}","cells","","","45744812","From N3C","45744812"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{copies}/mL","copies per milliliter","","","8799","From N3C","8799"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{copies}/ug","copies per microgram","","","9655","From N3C","9655"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","{s_co_ratio}","signal to cutoff ratio","","","8779","From N3C","8779"
"PRESCRIBING","RX_FREQUENCY","OT","OT=Other","","","0","From N3C","0"
"PROCEDURES","PPX","P","P=Principal","","","0","From N3C","0"
"PROCEDURES","PX_SOURCE","OD","OD=Order/EHR","","","32817","From N3C","32817"
